price,location,brand,model,km_driven,age,brand_model,description,xe_zin,xe_da_thay_doi,xe_co,xe_pkl,xe_chinh_chu,xe_nang_cap,log_km,km_per_year,vehicle_type_num,engine_capacity_num,origin_num,vtype_Tay ga,vtype_Xe số,engine_50 - 100 cc,engine_Dưới 50 cc,engine_Trên 175 cc,origin_Mỹ,origin_Nhật Bản,origin_Other,origin_Thái Lan,origin_Trung Quốc,origin_Việt Nam,origin_Đài Loan,origin_Đức,origin_Ấn Độ,vtype_display,is_outlier,cluster,vehicle_type_display,cluster_label
66.0,Quận 1,Piaggio,Vespa,14000,1,Piaggio Vespa,bán vespa sprint chính chủ xanh dương xe còn mới đẹp bán xe vespa sprint chính chủ mua mới tại topcom xe chính chủ chạy được khuyến mãi giá triệu thương lượng anh chị quan tâm nhắn zalo số công chứng hợp đồng mua bán trong ngày,False,False,False,False,True,False,9.546884034617925,7000.0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Tay ga,False,3,Tay ga,Tay Ga Trung Cấp - Chất Lượng Tốt (20-35M)
79.5,Quận 1,Honda,SH,28000,6,Honda SH,honda sh i thắng abs biển số thành phố chính chủ bán honda sh i thắng abs xám bạc úp team xám xi măng xe nhà sử dụng kỹ ít đi chính chủ biển số thành phố xe mới rất mới máy móc nguyên nguyên bản êm ái nhanh mạnh anh em qua xe xem test thoải mái mua bán tại nhà sang tên ký giấy nốt nhạc xem xe tại nhà tân sơn nhì phường tân sơn nhì quận tân phú,True,False,False,False,True,True,10.239995502805316,4000.0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Tay ga,False,3,Tay ga,Tay Ga Trung Cấp - Chất Lượng Tốt (20-35M)
37.0,Quận 1,Honda,Vision,12000,2,Honda Vision,chính chủ vision thể thao đen bộ đèn demi audi a chính chủ bán vision phiên bản thể thao đen xe mua chính hãng tháng bảo dưỡng định kỳ đầy đủ xe gia đình đi giữ gìn xe đã độ xe lên đèn demi led audi a và đèn hậu led audi a giá thị trường triệu còn nguyên đèn mới nguyên bản theo xe liên hệ chính chủ xau xau năm sáu,True,False,False,False,True,True,9.392745258631441,4000.0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Tay ga,False,3,Tay ga,Tay Ga Trung Cấp - Chất Lượng Tốt (20-35M)
45.0,Quận 1,Piaggio,Vespa,60000,6,Piaggio Vespa,vespa sprint đen đỏ sport chính chủ xe cá nhân bán xe do em đứng tên chính chủ chi tiết hình ảnh xe đã có đủ cần thì liên hệ em sản phẩm theo xe nguyên bản còn kính bao tay cảng sau chìa khóa còn đủ có giảm giá thêm cho anh chị về sơn dậm lại xem xe chi tiết quận liên hệ trao đổi qua giàlô không bốn ba hai,True,False,False,False,True,False,11.002116507732017,8571.42857142857,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Tay ga,False,3,Tay ga,Tay Ga Trung Cấp - Chất Lượng Tốt (20-35M)
23.0,Quận 1,Yamaha,Latte,24000,4,Yamaha Latte,xe tay ga yamaha latte đăng ký thông tin xe dòng xe tay ga cao cấp yamaha latte máy mạnh tiết kiệm xăng màu đen nhám phối yên nâu xe thuộc phiên bản cao cấp có hệ thống stop start system giúp tiết kiệm nhiên liệu và giảm khí thải quãng đường hiện tại hơn khuyến mãi bảo dưỡng định kỳ đều máy móc vẫn rất ổn định đăng ký lần đầu tháng máy nguyên bản đề nhạy vận hành êm ái cốp xe rộng tiện để nón túi xách bánh còn chạy tốt phanh an toàn đèn đóm đầy đủ quận tp hcm xem xe trực tiếp tại nhà theo hẹn giá bán triệu,True,False,False,False,False,False,10.085850775128717,4800.0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Tay ga,False,3,Tay ga,Tay Ga Trung Cấp - Chất Lượng Tốt (20-35M)
7.5,Quận 1,SYM,Elegant,25000,7,SYM Elegant,xe hoc sinh di hoc nay có giấy phép lái xe muốn bán lại xe cup chính chủ không cần giấy phép lái xe chay im không hao xăng đề cái chạy,False,False,False,False,True,False,10.12667110305036,3125.0,2,2,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,Xe số,False,3,Xe số,Tay Ga Trung Cấp - Chất Lượng Tốt (20-35M)
16.0,Quận 1,Honda,Air Blade,80000,12,Honda Air Blade,xe air blade xe air blade bst số khuyến mãi xe mới giảm giá giá cả thương lượng thêm,False,False,False,False,False,False,11.289794413577894,6153.846153846154,1,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Tay ga,False,2,Tay ga,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
7.5,Quận 1,Yamaha,Sirius,35000,10,Yamaha Sirius,cần bán xe để đối xe nên để giá yêu thương xe chính chủ xe chạy còn ngon máy mạnh bị bể bửng trước liên hệ,False,False,False,False,True,False,10.463131911491967,3181.818181818182,2,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Xe số,False,2,Xe số,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
33.0,Quận 1,Honda,Lead,20000,5,Honda Lead,xe honda lead biển số thành phố bản giới hạn đèn led mình đi xuất cảnh định cư nên cần bán chiếc xe honda lead biển số thành phố xe nhà ít đi bảo dưỡng định kỳ đầy đủ nên xe còn rất mới nguyên bản từ trong ra ngoài nước sơn nguyên bản không dặm tút máy móc nguyên bản êm ái chạy rất mạnh và nhẹ ga xe này mua về là đi thôi không phải làm gì hết xe sài smakey còn đủ kính xe màu đỏ đô tới xem xe phát hiện ra chổ nào không nguyên bản hoặc dậm tút tặng luôn xe mình là nguoi dùng bán chứ không phải cò lái giấy tờ hợp pháp mua bán ra phòng công chứng công chứng sang tên luôn,True,False,False,False,False,False,9.90353755128617,3333.3333333333335,1,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Tay ga,False,2,Tay ga,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
100.0,Quận 1,Honda,SH,8000,20,Honda SH,honda sh ý nguyên bản ai có nhu cầu mua xe liên hệ số điện thoại xem xe trực tiếp quận hcm,True,False,False,False,False,False,8.987321812850125,380.95238095238096,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Tay ga,False,1,Tay ga,Tay Ga Cao Cấp - Hạng Sang (100M+)
14.8,Quận 1,SYM,Wolf,10000,9,SYM Wolf,bán xe wolf chính chủ tình trạng đồ nguyên bản còn có độ xe cafe nhẹ động cơ êm ái ái mạnh nổ thì thầm hệ thống đèn còi xi nhan còn hoạt động chạy tốt biển số tp dễ nhìn chia sẽ cho anh em cùng đam mê xem xe quận hoặc tân bình buổi tối cảm ơn chợ chạy tốt đã duyệt tin,True,False,False,False,True,True,9.210440366976517,1000.0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Tay côn/Moto,False,2,Tay côn/Moto,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
18.5,Quận 1,Yamaha,Exciter,20000,11,Yamaha Exciter,exciter nguyên bản xuống áo ngay chủ exciter máy nguyên bản nhẹ xe xuống áo chuẩn biển số thành phố xe ngay mình đứng tên anh em mau lẹ bớt lộc liên hệ ky con phuong nguyên thái bình quận bạn nào có air blade hoac lead trao đổi bù trừ tuy theo đời xe nhé,True,False,False,False,True,False,9.90353755128617,1666.6666666666667,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Xe số,False,0,Xe số,Xe Số Cũ - Giá Rẻ (Dưới 15 Triệu)
37.0,Quận 1,Honda,Vario,900,1,Honda Vario,siêu lướt như mới dính pháp lý hôn nhân vario xe nhà ít đi siêu lướt siêu mới dính pháp lý hôn nhân chính chủ ghi giấy tay kèm căn cước công dân,False,False,False,False,True,False,6.803505257608338,450.0,1,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Tay ga,False,2,Tay ga,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
6.0,Quận 1,Honda,other,300000,24,Honda other,xe vespa paggio xanh cần bán xe vespa xanh ngọc như hình tại quận,False,False,False,False,False,False,12.611541086966115,12000.0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Tay ga,False,0,Tay ga,Xe Số Cũ - Giá Rẻ (Dưới 15 Triệu)
11.0,Quận 1,Honda,Air Blade,70000,2,Honda Air Blade,bán xe air blade đầu bò đen nhám dư xe cần bán có giảm giá mọi chức năng hoạt động bình thường khung sườn rất mới nội thất không hoen rỉ mục nát đinh tán còn sơn phết có chống trộm chỉ có dàn áo trầy nhẹ theo năm tháng miễn trung gian xe biển tp mua bán công chứng giữa người mua bán giao giấy đăng ký,False,False,False,False,False,False,11.156264806643742,23333.333333333332,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Tay ga,False,3,Tay ga,Tay Ga Trung Cấp - Chất Lượng Tốt (20-35M)
83.0,Quận 1,Honda,Cub,8600,3,Honda Cub,bán cup xe như mới đầy đủ phụ kiện theo xe mới bán cup xe như mới đầy đủ phụ kiện theo xe mới lấy xe đen mới mua đưa qua do đổi xe đen nên nhượng lại xe xanh chỉ để dành đi học giấy đăng ký chính chủ bso còn mới đẹp có thể uỷ quyền cho khách đi thoải mái giảm giá nhẹ cho anh em chung đam mê cup,False,False,False,False,True,True,9.059633754551479,2150.0,2,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Xe số,False,1,Xe số,Tay Ga Cao Cấp - Hạng Sang (100M+)
33.0,Quận 1,Honda,Vario,27000,6,Honda Vario,vario đen bán xe như ảnh chính chủ uỷ quyền lần mua về chỉ đổ xăng là đi nhớt lọc gió mới thay lọc gió không n bớt không cho người thiện chí mua lưu ý mấy a cò vạc khướu tu hú có thấy tin e đăng thì đừng trả giá dìm e chỉ bớt không cho người thiện chí mua sử dụng còn trả dưới giá e không bán đỡ mất thời gian đôi bên,False,False,False,False,True,False,10.203629181337648,3857.1428571428573,1,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Tay ga,False,2,Tay ga,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
30.0,Quận 1,Piaggio,Vespa,23000,9,Piaggio Vespa,cần bán xe vespa cũ vie đời màu trắng xe còn vận hành chạy tốt do ít sử dụng nên bán lại khách thiện chí có thể thương lượng được giá chạy tốt,False,False,False,False,False,False,10.043292972227004,2300.0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Tay ga,False,3,Tay ga,Tay Ga Trung Cấp - Chất Lượng Tốt (20-35M)
65.0,Quận 1,Honda,SH,38000,17,Honda SH,bán nhanh lẹ hàng quốc dân anh em ai cũng thích dễ chơi dễ trải nghiệm honda sh ý đời dọn full fom ý anh em nhìn hình đánh giá em bán nhanh gọn lẹ xxx tiểu học anh em dễ chơi công chúng mua bán nhanh gọn lẹ sau khi giao dịch thành công em ở quận em khanh lubu tuổi,False,False,False,False,False,True,10.545367754151743,2111.1111111111113,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Tay ga,False,3,Tay ga,Tay Ga Trung Cấp - Chất Lượng Tốt (20-35M)
29.9,Quận 1,Honda,Vision,2642,3,Honda Vision,honda vision mới màu xanh đen nhám honda vision đời giá triệu không hãng xe honda đăng ký bao rút hồ sơ đảm bảo giấy tờ sang tên thoải mái dung tích chính chủ phun xăng điện tử fi màu xanh đen cam kết động cơ và máy nguyên nguyên bản xe không đâm đụng không ngập nước,True,False,False,False,True,False,7.879669914604289,660.5,1,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Tay ga,False,2,Tay ga,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
